Unnamed: 0,A,B,X,nA,nB,nX,chi_A,chi_B,chi_X,chi_diff,rX,rA,rB,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,rA_rB_ratio,rB_rX_ratio,rA_rX_ratio,chi_AX_ratio,chi_BX_ratio,HOMO_A,HOMO_B,HOMO_X,LUMO_A,LUMO_B,LUMO_X,EA_A,EA_B,EA_X,IP_A,IP_B,IP_X,rS_A,rS_B,rS_X,rP_A,rP_B,rP_X,rD_A,rD_B,rD_X,t_sisso,t,tau,t_jess
CeTmS3,Ce,Tm,S,3.0,3.0,-2.0,1.12,1.25,2.58,1.074,184.4,160.20000000000002,100.0,-1.46,-1.33,-2.32,-2.19,1.602,0.5422993492407809,0.8687635574837311,0.6293103448275862,0.6073059360730594,-2.5303330600000007,-3.153999099999999,-7.00838179000003,-2.5303331468620374,-1.0724057668138651,0.8145175879610062,0.0869328039854952,0.5222435779285232,-2.847077729734469,5.700526061695872,6.424661898518719,11.769320157021456,204.28,176.24,74.72999999999999,257.54,254.47,84.92999999999999,118.68,111.95,273.21,0.451110132252857,0.8567848473815568,3.0423468403572604,0.8878285814810051
CeTmSe3,Ce,Tm,Se,3.0,3.0,-2.0,1.12,1.25,2.55,1.0559999999999998,198.14,160.20000000000002,100.0,-1.4299999999999995,-1.2999999999999998,-2.32,-2.19,1.602,0.5046936509538711,0.8085192288281015,0.6163793103448275,0.593607305936073,-2.5303330600000007,-3.153999099999999,-6.510488250000024,-2.5303331468620374,-1.0724057668138651,-0.2111875472497096,0.0869328039854952,0.5222435779285232,-2.730814399751447,5.700526061695872,6.424661898518719,10.84576444731508,204.28,176.24,79.97,257.54,254.47,95.78,118.68,111.95,23.97,0.4733450342890366,0.8498869062936295,3.17974684035726,0.8824903264057559
CeLuS3,Ce,Lu,S,3.0,3.0,-2.0,1.12,1.27,2.58,1.07,184.4,160.20000000000002,99.0,-1.46,-1.31,-2.32,-2.17,1.6181818181818184,0.5368763557483731,0.8687635574837311,0.6293103448275862,0.6036866359447005,-2.5303330600000007,-1.7533157500000005,-7.00838179000003,-2.5303331468620374,-1.7533158101883548,0.8145175879610062,0.0869328039854952,0.3090144625889975,-2.847077729734469,5.700526061695872,5.26002856955933,11.769320157021456,204.28,162.29,74.72999999999999,257.54,232.06,84.92999999999999,118.68,97.53,273.21,0.431046031191357,0.859808082552275,2.9488787763966005,0.8963029636556058
CeLuSe3,Ce,Lu,Se,3.0,3.0,-2.0,1.12,1.27,2.55,1.052,198.14,160.20000000000002,99.0,-1.4299999999999995,-1.2799999999999998,-2.32,-2.17,1.6181818181818184,0.4996467144443323,0.8085192288281015,0.6163793103448275,0.5898617511520736,-2.5303330600000007,-1.7533157500000005,-6.510488250000024,-2.5303331468620374,-1.7533158101883548,-0.2111875472497096,0.0869328039854952,0.3090144625889975,-2.730814399751447,5.700526061695872,5.26002856955933,10.84576444731508,204.28,162.29,79.97,257.54,232.06,95.78,118.68,97.53,23.97,0.4539892290343028,0.852747130115039,3.087666655184479,0.8910828459927189
CeScS3,Ce,Sc,S,3.0,3.0,-2.0,1.12,1.36,2.58,1.052,184.4,160.20000000000002,87.0,-1.46,-1.22,-2.32,-2.08,1.841379310344828,0.4718004338394794,0.8687635574837311,0.6293103448275862,0.5865384615384615,-2.5303330600000007,-3.2357286599999986,-7.00838179000003,-2.5303331468620374,-3.235728771077069,0.8145175879610062,0.0869328039854952,0.2753302914535808,-2.847077729734469,5.700526061695872,6.884657007341072,11.769320157021456,204.28,165.06,74.72999999999999,257.54,217.74,84.92999999999999,118.68,58.09,273.21,0.4629453730347266,0.8978246521566497,2.167866137156401,0.9632963198379432
CeBiS3,Bi,Ce,S,3.0,3.0,-2.0,2.02,1.12,2.58,0.9200000000000002,184.4,163.0,101.03,-0.56,-1.46,-1.42,-2.32,1.6133821637137484,0.547885032537961,0.8839479392624728,0.3943661971830986,0.6293103448275862,-4.568780880000002,-2.5303330600000007,-7.00838179000003,-4.56878103683849,-2.5303331468620374,0.8145175879610062,-1.6542288708495247,0.0869328039854952,-2.847077729734469,7.913870035627065,5.700526061695872,11.769320157021456,98.99,204.28,74.72999999999999,130.17,257.54,84.92999999999999,54.69,118.68,273.21,0.4308936673394522,0.8606296274742385,2.9439870199647222,0.5393256859032081
CeBiSe3,Bi,Ce,Se,3.0,3.0,-2.0,2.02,1.12,2.55,0.9019999999999998,198.14,163.0,101.03,-0.5299999999999998,-1.4299999999999995,-1.42,-2.32,1.6133821637137484,0.5098919955586959,0.8226506510548098,0.3732394366197182,0.6163793103448275,-4.568780880000002,-2.5303330600000007,-6.510488250000024,-4.56878103683849,-2.5303331468620374,-0.2111875472497096,-1.6542288708495247,0.0869328039854952,-2.730814399751447,7.913870035627065,5.700526061695872,10.84576444731508,98.99,204.28,79.97,130.17,257.54,95.78,54.69,118.68,23.97,0.4545570098359621,0.8535788555571746,3.0799862281207155,0.5168721367049649
CeUS3,Ce,U,S,3.0,3.0,-2.0,1.12,1.38,2.58,1.048,184.4,160.20000000000002,99.0,-1.46,-1.2000000000000002,-2.32,-2.06,1.6181818181818184,0.5368763557483731,0.8687635574837311,0.6293103448275862,0.5825242718446603,-2.5303330600000007,-1.9952727799999996,-7.00838179000003,-2.5303331468620374,-1.9952728484943232,0.8145175879610062,0.0869328039854952,0.546861732757815,-2.847077729734469,5.700526061695872,5.590257855882314,11.769320157021456,204.28,187.98,74.72999999999999,257.54,241.76,84.92999999999999,118.68,131.23,273.21,0.431046031191357,0.859808082552275,2.9488787763966005,0.9288645075733556
CeUSe3,Ce,U,Se,3.0,3.0,-2.0,1.12,1.38,2.55,1.03,198.14,160.20000000000002,99.0,-1.4299999999999995,-1.17,-2.32,-2.06,1.6181818181818184,0.4996467144443323,0.8085192288281015,0.6163793103448275,0.5679611650485437,-2.5303330600000007,-1.9952727799999996,-6.510488250000024,-2.5303331468620374,-1.9952728484943232,-0.2111875472497096,0.0869328039854952,0.546861732757815,-2.730814399751447,5.700526061695872,5.590257855882314,10.84576444731508,204.28,187.98,79.97,257.54,241.76,95.78,118.68,131.23,23.97,0.4539892290343028,0.852747130115039,3.087666655184479,0.9254430061497502
CeInS3,Ce,In,S,3.0,3.0,-2.0,1.12,1.78,2.58,0.968,184.4,160.20000000000002,92.0,-1.46,-0.8,-2.32,-1.66,1.7413043478260872,0.4989154013015184,0.8687635574837311,0.6293103448275862,0.4819277108433735,-2.5303330600000007,-2.5178859200000034,-7.00838179000003,-2.5303331468620374,-2.517886006434747,0.8145175879610062,0.0869328039854952,-0.1678385307595446,-2.847077729734469,5.700526061695872,5.364511578154709,11.769320157021456,204.28,114.07,74.72999999999999,257.54,151.32,84.92999999999999,118.68,49.29,273.21,0.4004500190273168,0.8815832510684325,2.4230072188377507,1.1511881289275068
YbSmS3,Sm,Yb,S,3.0,3.0,-2.0,1.17,1.1,2.58,1.094,184.4,164.0,102.0,-1.41,-1.48,-2.27,-2.34,1.607843137254902,0.5531453362255965,0.8893709327548807,0.6211453744493393,0.6324786324786326,-2.519165209999997,-3.076992080000003,-7.00838179000003,-2.5191652964786626,-1.0944533775707237,0.8145175879610062,0.530550865217543,0.4767999173605045,-2.847077729734469,5.94376524505028,6.531525574217345,11.769320157021456,194.74,173.83,74.72999999999999,267.86,248.9,84.92999999999999,115.12,112.51,273.21,0.4356426693288764,0.860183739987254,2.964916772447276,0.8447702797100684
YbSmSe3,Sm,Yb,Se,3.0,3.0,-2.0,1.17,1.1,2.55,1.0759999999999998,198.14,164.0,102.0,-1.38,-1.4499999999999995,-2.27,-2.34,1.607843137254902,0.5147875239729485,0.8276975875643485,0.6079295154185022,0.6196581196581196,-2.519165209999997,-3.076992080000003,-6.510488250000024,-2.5191652964786626,-1.0944533775707237,-0.2111875472497096,0.530550865217543,0.4767999173605045,-2.730814399751447,5.94376524505028,6.531525574217345,10.84576444731508,194.74,173.83,79.97,267.86,248.9,95.78,115.12,112.51,23.97,0.4593908616824042,0.8531761670534334,3.0996226548002164,0.8370276404827427
YbBiS3,Bi,Yb,S,3.0,3.0,-2.0,2.02,1.1,2.58,0.9240000000000004,184.4,163.0,102.0,-0.56,-1.48,-1.42,-2.34,1.5980392156862746,0.5531453362255965,0.8839479392624728,0.3943661971830986,0.6324786324786326,-4.568780880000002,-3.076992080000003,-7.00838179000003,-4.56878103683849,-1.0944533775707237,0.8145175879610062,-1.6542288708495247,0.4767999173605045,-2.847077729734469,7.913870035627065,6.531525574217345,11.769320157021456,98.99,173.83,74.72999999999999,130.17,248.9,84.92999999999999,54.69,112.51,273.21,0.4501815933974273,0.8577147855096786,3.0346965961982653,0.5348065544974699
YbBiSe3,Bi,Yb,Se,3.0,3.0,-2.0,2.02,1.1,2.55,0.906,198.14,163.0,102.0,-0.5299999999999998,-1.4499999999999995,-1.42,-2.34,1.5980392156862746,0.5147875239729485,0.8226506510548098,0.3732394366197182,0.6196581196581196,-4.568780880000002,-3.076992080000003,-6.510488250000024,-4.56878103683849,-1.0944533775707237,-0.2111875472497096,-1.6542288708495247,0.4767999173605045,-2.730814399751447,7.913870035627065,6.531525574217345,10.84576444731508,98.99,173.83,79.97,130.17,248.9,95.78,54.69,112.51,23.97,0.4731521251587731,0.8508202379457583,3.1694024785512065,0.5124755993687855
GdScS3,Gd,Sc,S,3.0,3.0,-2.0,1.2,1.36,2.58,1.036,184.4,152.0,87.0,-1.38,-1.22,-2.24,-2.08,1.7471264367816093,0.4718004338394794,0.824295010845987,0.6160714285714286,0.5865384615384615,-2.8746633999999998,-3.2357286599999986,-7.00838179000003,-1.3761398572405408,-3.235728771077069,0.8145175879610062,1.325343534503421,0.2753302914535808,-2.847077729734469,6.0569064659121885,6.884657007341072,11.769320157021456,30.32,165.06,74.72999999999999,202.1,217.74,84.92999999999999,111.28,58.09,273.21,0.4758516854803871,0.8764602814436939,2.513157709453768,0.920591185544489
GdTlS3,Gd,Tl,S,3.0,3.0,-2.0,1.2,1.62,2.58,0.984,184.4,152.0,88.45,-1.38,-0.96,-2.24,-1.82,1.7184850197851893,0.4796637744034707,0.824295010845987,0.6160714285714286,0.5274725274725275,-2.8746633999999998,-2.36925177,-7.00838179000003,-1.3761398572405408,-2.3692518513323906,0.8145175879610062,1.325343534503421,-0.1395649868243635,-2.847077729734469,6.0569064659121885,5.166986943295928,11.769320157021456,30.32,109.74,74.72999999999999,202.1,154.46,84.92999999999999,111.28,59.04,273.21,0.45763098681614,0.8718025302687136,2.6064868199971625,1.0182381115247865
TbGdS3,Gd,Tb,S,3.0,3.0,-2.0,1.2,1.1,2.58,1.088,184.4,152.0,92.41,-1.38,-1.48,-2.24,-2.34,1.6448436316415973,0.5011388286334056,0.824295010845987,0.6160714285714286,0.6324786324786326,-2.8746633999999998,-3.0839381900000022,-7.00838179000003,-1.3761398572405408,-1.3025399247139844,0.8145175879610062,1.325343534503421,0.4848213986217848,-2.847077729734469,6.0569064659121885,6.119534423052706,11.769320157021456,30.32,29.39,74.72999999999999,202.1,257.89,84.92999999999999,111.28,112.45,273.21,0.4167122098936301,0.8593306614060854,2.9112136457130218,0.8370386618643012
