material,exp_label,rA,rB,rX,nA,nB,nX,chiA,chiB,chiX,rB_rX_ratio,rA_rX_ratio,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,chi_AX_ratio,chi_BX_ratio,log_rA_rB_ratio,A,B,X,HOMO_A,HOMO_B,HOMO_X,LUMO_A,LUMO_B,LUMO_X,EA_A,EA_B,EA_X,IP_A,IP_B,IP_X,rS_A,rS_B,rS_X,rP_A,rP_B,rP_X,rD_A,rD_B,rD_X
YScS3,1.0,122.3,74.11,184.4,3,3,-2,1.22,1.36,2.58,0.404891304347826,0.5842391304347826,-1.36,-1.22,-2.22,-2.08,0.6126126126126126,0.5865384615384615,0.3666917221822037,Y,Sc,S,-2.5187763800000034,-3.2357286599999986,-7.00838179000003,-2.5187764664653174,-3.2357287710770692,0.8145175879610062,0.15640454937182782,0.27533029145358084,-2.847077729734469,6.250735714575128,6.884657007341072,11.769320157021456,178.5,165.06,74.72999999999999,235.80999999999997,217.73999999999998,84.92999999999999,94.26,58.09,273.21
RbCaCl3,1.0,172.2,99.98,180.61,1,2,-1,0.82,1.0,3.16,0.5524861878453039,0.9502762430939226,-2.3400000000000003,-2.16,-2.62,-2.44,0.8931297709923665,0.8852459016393444,0.5423242908253617,Rb,Ca,Cl,-2.23129531,-3.766160950000002,-8.594666479999974,-0.6626547127478113,-1.9458476867976409,0.019723560677076313,-0.5654554674099543,0.14999546214811163,-3.9352299810896123,4.153592876586776,6.309260154585895,13.876021229339663,231.42,179.84,67.85000000000001,324.0,231.01999999999998,75.67,240.09999999999997,67.61,224.95000000000002
SrSnS3,0.0,144.48,68.92,184.4,2,4,-2,0.95,1.96,2.58,0.3749999999999999,0.7826086956521738,-1.63,-0.6200000000000001,-2.49,-1.48,0.6546184738955823,0.41891891891891897,0.7357067949787413,Sr,Sn,S,-3.5257832000000016,-3.6934392700000016,-7.00838179000003,-1.2811882639810177,-3.693439396789498,0.8145175879610062,0.15058605716674303,-1.0130803347838757,-2.847077729734469,5.884929518021573,6.875250052003975,11.769320157021456,195.84,106.59,74.72999999999999,254.93,135.54,84.92999999999999,111.21,46.940000000000005,273.21
NaFeF3,1.0,139.25,78.4,133.15,1,2,-1,0.93,1.83,3.98,0.5864661654135338,1.045112781954887,-3.05,-2.15,-2.51,-1.61,1.2151394422310757,1.3354037267080745,0.5777651064410999,Na,Fe,F,-2.7445312200000007,-4.431945739999999,-11.111416699999976,-2.7445313142150973,-0.812293287884647,1.1366816190203481,-0.7570217149871556,-1.3037382507616442,-4.336301480858267,5.147636303709317,7.470426106445764,19.391595983680425,175.88,133.01,40.44,260.21000000000004,193.65,37.4,845.6800000000001,38.15,143.19
CsMgCl3,0.0,188.28,72.45,180.61,1,2,-1,0.79,1.31,3.16,0.3977900552486187,1.0386740331491713,-2.37,-1.85,-2.65,-2.13,0.8943396226415095,0.8685446009389672,0.9597758438138939,Cs,Mg,Cl,-2.0859241200000014,-4.705333049999998,-8.594666479999974,-0.47924297645159664,-1.3065628048520797,0.019723560677076313,-0.5452966317296846,0.500356888176296,-3.9352299810896123,3.8635765556284616,7.971349299642951,13.876021229339663,253.57,135.17999999999998,67.85000000000001,319.04,191.16,75.67,202.25,561.2099999999999,224.95000000000002
NaCdCl3,0.0,139.25,95.14,180.61,1,2,-1,0.93,1.69,3.16,0.5248618784530387,0.7679558011049723,-2.23,-1.4700000000000002,-2.51,-1.75,0.8884462151394423,0.8400000000000001,0.38059704153015084,Na,Cd,Cl,-2.7445312200000007,-5.657022910000005,-8.594666479999974,-2.7445313142150973,-1.1571185497219154,0.019723560677076313,-0.7570217149871556,0.9482623915387753,-3.9352299810896123,5.147636303709317,9.27193000127873,13.876021229339663,175.88,123.55,67.85000000000001,260.21000000000004,179.66,75.67,845.6800000000001,51.92,224.95000000000002
NaZnCl3,0.0,139.25,74.34,180.61,1,2,-1,0.93,1.65,3.16,0.4088397790055249,0.7679558011049723,-2.23,-1.5100000000000002,-2.51,-1.79,0.8884462151394423,0.8435754189944136,0.6304088399265221,Na,Zn,Cl,-2.7445312200000007,-5.977182470000003,-8.594666479999974,-2.7445313142150973,-1.1074028380152596,0.019723560677076313,-0.7570217149871556,0.922398193658712,-3.9352299810896123,5.147636303709317,9.889346728482574,13.876021229339663,175.88,110.67999999999999,67.85000000000001,260.21000000000004,166.61,75.67,845.6800000000001,29.970000000000002,224.95000000000002
RbDyI3,1.0,172.2,107.52,219.49,1,2,-1,0.82,1.22,2.66,0.4863636363636363,0.7818181818181817,-1.8400000000000003,-1.4400000000000002,-2.62,-2.22,0.7022900763358779,0.6486486486486487,0.47466564235154685,Rb,Dy,I,-2.23129531,-3.164901719999999,-7.083940510000032,-0.6626547127478113,-1.1732693202763391,0.2908709899851069,-0.5654554674099543,0.4711191951556382,-3.4344351648747526,4.153592876586776,6.187951074411365,11.131355946143177,231.42,28.52,90.24000000000001,324.0,256.01,107.49,240.09999999999997,111.98,41.190000000000005
CsNiI3,0.0,188.28,69.57,219.49,1,2,-1,0.79,1.91,2.66,0.3136363636363636,0.8545454545454544,-1.87,-0.7500000000000002,-2.65,-1.53,0.7056603773584906,0.4901960784313727,1.0023354582326898,Cs,Ni,I,-2.0859241200000014,-4.439555410000002,-7.083940510000032,-0.47924297645159664,-4.4395555624023935,0.2908709899851069,-0.5452966317296846,-1.3513871613897686,-3.4344351648747526,3.8635765556284616,7.898771670150475,11.131355946143177,253.57,125.16999999999999,90.24000000000001,319.04,156.73999999999998,107.49,202.25,33.809999999999995,41.190000000000005
NaCaF3,0.0,139.25,99.98,133.15,1,2,-1,0.93,1.0,3.98,0.7518796992481203,1.045112781954887,-3.05,-2.98,-2.51,-2.44,1.2151394422310757,1.221311475409836,0.3293037471426003,Na,Ca,F,-2.7445312200000007,-3.766160950000002,-11.111416699999976,-2.7445313142150973,-1.9458476867976409,1.1366816190203481,-0.7570217149871556,0.14999546214811163,-4.336301480858267,5.147636303709317,6.309260154585895,19.391595983680425,175.88,179.84,40.44,260.21000000000004,231.01999999999998,37.4,845.6800000000001,67.61,143.19
