,material,exp_label,rA,rB,rX,nA,nB,nX,chiA,chiB,chiX,rA_rB_ratio,rB_rX_ratio,rA_rX_ratio,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,rX_rB_ratio,chi_AX_ratio,chi_BX_ratio,log_rA_rB_ratio,t_sisso,t,tau,t_jess,p_t_sisso,dataset
211,TlGeI3,0.0,1.7,0.73,2.2,1.0,2.0,-1.0,1.62,2.01,2.66,2.328767123287671,0.3318181818181818,0.7727272727272726,-1.04,-0.6500000000000004,-1.82,-1.4300000000000002,3.0136986301369864,0.5714285714285714,0.4545454545454547,0.8453389959018707,3.183578139246259,0.9412025233012185,4.76853087445238,1.1832260292929595,0.0079089059957667,train
212,CsPbI3,1.0,1.88,1.19,2.2,1.0,2.0,-1.0,0.79,2.33,2.66,1.5798319327731092,0.5409090909090909,0.8545454545454544,-1.87,-0.33,-2.65,-1.11,1.84873949579832,0.7056603773584906,0.2972972972972972,0.4573184697184198,2.5817195290198662,0.8510333140119568,4.30329477266226,2.0199998283529097,0.3538453572244974,train
213,CsTiI3,0.0,1.88,0.86,2.2,1.0,2.0,-1.0,0.79,1.54,2.66,2.186046511627907,0.3909090909090909,0.8545454545454544,-1.87,-1.12,-2.65,-1.9,2.558139534883721,0.7056603773584906,0.5894736842105264,0.7820946665764414,2.72482928775824,0.9428114165034424,4.353257063554714,1.128641833839869,0.163451827536035,train
214,CaLiF3,0.0,1.34,0.76,1.33,2.0,1.0,-1.0,1.0,0.98,3.98,1.7631578947368425,0.5714285714285714,1.0075187969924813,-2.98,-3.0,-2.44,-2.46,1.75,1.221311475409836,1.2195121951219512,0.5671064596645805,2.759072880649167,0.9033396466737528,3.9680843285744825,0.9046724428737634,0.1327086248238884,train
215,RbMnCl3,1.0,1.72,0.83,1.81,1.0,2.0,-1.0,0.82,1.55,3.16,2.072289156626506,0.4585635359116021,0.9502762430939226,-2.3400000000000003,-1.61,-2.62,-1.89,2.180722891566265,0.8931297709923665,0.851851851851852,0.7286538690168551,2.411095927502869,0.9454898580276,4.0247195335144745,0.9913051647889772,0.6530821345988316,train
216,EuZrS3,1.0,1.35,0.72,1.84,2.0,4.0,-2.0,1.2,1.33,2.58,1.875,0.3913043478260869,0.7336956521739131,-1.38,-1.25,-2.24,-2.11,2.555555555555556,0.6160714285714285,0.5924170616113744,0.6286086594223741,2.412208488635855,0.88112356015019,4.521111301233415,0.9163055651590438,0.6512641424870891,train
217,RbCdCl3,1.0,1.72,0.95,1.81,1.0,2.0,-1.0,0.82,1.69,3.16,1.810526315789473,0.5248618784530387,0.9502762430939226,-2.3400000000000003,-1.4700000000000002,-2.62,-1.75,1.9052631578947368,0.8931297709923665,0.8400000000000001,0.5936175852129121,2.292049323781882,0.904381603330748,3.9552508282230927,0.9615834931815476,0.8151615592817985,train
218,EuHfS3,1.0,1.35,0.71,1.84,2.0,4.0,-2.0,1.2,1.3,2.58,1.9014084507042253,0.3858695652173912,0.7336956521739131,-1.38,-1.28,-2.24,-2.14,2.591549295774649,0.6160714285714285,0.5981308411214953,0.642594901397114,2.4358096980914894,0.884578946660583,4.509456352211697,0.9111113787939572,0.6116820076415196,train
219,MnLiF3,0.0,0.96,0.76,1.33,2.0,1.0,-1.0,1.55,0.98,3.98,1.263157894736842,0.5714285714285714,0.7218045112781954,-2.43,-3.0,-1.89,-2.46,1.75,1.2857142857142858,1.2195121951219512,0.2336148511815051,5.797590496180225,0.7747744535141926,8.564020498683469,0.8168336381335345,5.238104296327515e-10,train
220,RbPbI3,0.0,1.72,1.19,2.2,1.0,2.0,-1.0,0.82,2.33,2.66,1.4453781512605042,0.5409090909090909,0.7818181818181817,-1.8400000000000003,-0.33,-2.62,-1.11,1.84873949579832,0.7022900763358779,0.2972972972972972,0.3683709837019236,3.043598259289805,0.8176594585605076,4.77244200009238,1.9315147792782572,0.0203881818287919,train
