# FEAT_ID     Score                   Feature Expression
91            122.045218004109699     (((chi_BX_ratio * rB_rX_ratio) + (chi_AX_ratio - log_rA_rB_ratio)) * ((chi_BX_ratio + nB) - (chi_AX_ratio / log_rA_rB_ratio)))
92            122.04704399622554      (((chi_BX_ratio / log_rA_rB_ratio) - (chi_BX_ratio * nB)) + ((log_rA_rB_ratio / rB_rX_ratio) / (chi_AX_ratio + rB_rX_ratio)))
93            122.047747616304065     (((chi_AX_ratio / log_rA_rB_ratio) + (chi_AX_ratio - log_rA_rB_ratio)) + ((log_rA_rB_ratio + rB_rX_ratio) / (chi_AX_ratio * rB_rX_ratio)))
94            122.056077068460382     (((rB_rX_ratio / log_rA_rB_ratio) / (log_rA_rB_ratio - nB)) - ((nB / rB_rX_ratio) / (chi_AX_ratio + nB)))
95            122.070510551206539     (((chi_AX_ratio - log_rA_rB_ratio) * (log_rA_rB_ratio / chi_AX_ratio)) + ((log_rA_rB_ratio * rB_rX_ratio) - (rB_rX_ratio / nB)))
96            122.093573782456559     (((chi_BX_ratio * rB_rX_ratio) + (chi_AX_ratio - log_rA_rB_ratio)) * ((log_rA_rB_ratio * nB)^2))
97            122.130955645103782     (((chi_BX_ratio * log_rA_rB_ratio) * (chi_BX_ratio - rB_rX_ratio)) - ((chi_BX_ratio / rB_rX_ratio) / (chi_AX_ratio + nB)))
98            122.148599615289925     (((chi_BX_ratio / rB_rX_ratio) / (chi_BX_ratio + nB)) - ((chi_BX_ratio - rB_rX_ratio) * (chi_AX_ratio * log_rA_rB_ratio)))
99            122.197012541609894     (((chi_AX_ratio + rB_rX_ratio) - (chi_AX_ratio / nB)) / ((chi_AX_ratio / log_rA_rB_ratio) + (log_rA_rB_ratio / chi_AX_ratio)))
100           123.000667966936845     (((chi_AX_ratio - log_rA_rB_ratio) / (log_rA_rB_ratio * nB)) * ((1.0 / log_rA_rB_ratio) - (rB_rX_ratio + nB)))
101           123.019097640992669     (((chi_BX_ratio / log_rA_rB_ratio) / nB) + ((log_rA_rB_ratio / chi_AX_ratio) - chi_BX_ratio))
102           123.020479804616741     (((log_rA_rB_ratio - rB_rX_ratio) + (rB_rX_ratio / log_rA_rB_ratio)) / ((chi_AX_ratio + rB_rX_ratio) - (chi_AX_ratio / nB)))
103           123.024238220163454     (((chi_BX_ratio / log_rA_rB_ratio) / (log_rA_rB_ratio - nB)) + ((chi_BX_ratio^2) - (log_rA_rB_ratio / chi_AX_ratio)))
104           123.026273209673832     (((chi_AX_ratio / log_rA_rB_ratio) / (log_rA_rB_ratio + nB)) - ((chi_AX_ratio * rB_rX_ratio) - (log_rA_rB_ratio / chi_AX_ratio)))
105           123.026396213353621     (((rB_rX_ratio / log_rA_rB_ratio) / (rB_rX_ratio - nB)) - ((1.0 / rB_rX_ratio) - (rB_rX_ratio / nB)))
106           123.027751273750255     (((chi_BX_ratio * chi_AX_ratio) - (log_rA_rB_ratio / chi_AX_ratio)) - ((chi_BX_ratio / log_rA_rB_ratio) / nB))
107           123.028469481131992     (((chi_BX_ratio * chi_AX_ratio) - (log_rA_rB_ratio - rB_rX_ratio)) - ((chi_BX_ratio / log_rA_rB_ratio) / nB))
108           123.028962820802207     (((log_rA_rB_ratio - rB_rX_ratio) / (chi_AX_ratio^2)) - ((nB / log_rA_rB_ratio) / (log_rA_rB_ratio - nB)))
109           123.029334757461115     (((chi_AX_ratio - rB_rX_ratio) - (1.0 / rB_rX_ratio)) - (chi_AX_ratio / (log_rA_rB_ratio * nB)))
110           123.030902906112061     (((chi_BX_ratio / log_rA_rB_ratio) / nB) - ((chi_BX_ratio^2) - (log_rA_rB_ratio - rB_rX_ratio)))
111           123.031224147086704     (((rB_rX_ratio / log_rA_rB_ratio) / (rB_rX_ratio - nB)) - ((1.0 / rB_rX_ratio) - rB_rX_ratio))
112           123.03518849683978      (((chi_BX_ratio / log_rA_rB_ratio) + (log_rA_rB_ratio / chi_AX_ratio)) + ((chi_BX_ratio^2) * (log_rA_rB_ratio - nB)))
113           123.041524474929474     (((chi_AX_ratio / nB) + (log_rA_rB_ratio / chi_AX_ratio)) * ((log_rA_rB_ratio / chi_AX_ratio) + (1.0 / log_rA_rB_ratio)))
114           123.04245486794882      (((log_rA_rB_ratio + rB_rX_ratio) / (chi_AX_ratio * rB_rX_ratio)) - ((nB / log_rA_rB_ratio) / (rB_rX_ratio - nB)))
115           123.047106677472613     (((chi_AX_ratio + nB) / (log_rA_rB_ratio * nB)) + ((log_rA_rB_ratio / chi_AX_ratio) / (chi_AX_ratio * rB_rX_ratio)))
116           123.047290836724798     (((chi_AX_ratio * log_rA_rB_ratio) - log_rA_rB_ratio) * ((log_rA_rB_ratio^2) / (chi_BX_ratio - nB)))
117           123.05572286327741      (((chi_BX_ratio / log_rA_rB_ratio) + (log_rA_rB_ratio / chi_BX_ratio)) - ((chi_AX_ratio * nB) - (1.0 / rB_rX_ratio)))
118           123.056834807054599     (((chi_AX_ratio - log_rA_rB_ratio) + (log_rA_rB_ratio * rB_rX_ratio)) * ((log_rA_rB_ratio * nB) / chi_AX_ratio))
119           123.058969670708507     (((chi_AX_ratio + log_rA_rB_ratio) / (chi_AX_ratio * nB)) + ((rB_rX_ratio / log_rA_rB_ratio) + (1.0 / rB_rX_ratio)))
120           123.076978817349385     (((log_rA_rB_ratio / chi_AX_ratio) + (1.0 / rB_rX_ratio)) + ((rB_rX_ratio / log_rA_rB_ratio) + (1.0 / nB)))
121           123.078010745934222     (((chi_BX_ratio^2) * (chi_AX_ratio * log_rA_rB_ratio)) + (chi_BX_ratio / (log_rA_rB_ratio - nB)))
122           123.081571823057899     (((rB_rX_ratio^2) / (chi_AX_ratio * log_rA_rB_ratio)) - ((nB / rB_rX_ratio) / (rB_rX_ratio - nB)))
