Time,Time Code,Country Name,Country Code,"Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]",Control of Corruption: Estimate [CC.EST],Electricity production from coal sources (% of total) [EG.ELC.COAL.ZS],"Energy imports, net (% of energy use) [EG.IMP.CONS.ZS]",Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE],Fossil fuel energy consumption (% of total) [EG.USE.COMM.FO.ZS],Government Effectiveness: Estimate [GE.EST],Individuals using the Internet (% of population) [IT.NET.USER.ZS],"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate) [SL.TLF.ACTI.ZS]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Political Stability and Absence of Violence/Terrorism: Estimate [PV.EST],Proportion of seats held by women in national parliaments (%) [SG.GEN.PARL.ZS],Regulatory Quality: Estimate [RQ.EST],Rule of Law: Estimate [RL.EST],"School enrollment, primary (% gross) [SE.PRM.ENRR]",Terrestrial and marine protected areas (% of total territorial area) [ER.PTD.TOTL.ZS],"Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]",Voice and Accountability: Estimate [VA.EST]
2023,YR2023,Greece,GRC,3.343435145,0.097846925,9.639819385,90.32763246,1868.755073,79.08,0.148003027,85,69.273,81.53658537,0.239744067,23,0.578935325,0.213158578,..,11,11.066,1.012167215
2023,YR2023,Grenada,GRD,3.187058273,0.55816859,..,..,..,..,-0.006056052,74.1,..,75.205,1.018019199,31.25,0.314693749,0.604949296,..,0.2,..,0.753503501
2023,YR2023,Guatemala,GTM,9.686707094,-1.121612906,..,..,..,..,-0.897167265,56.1,62.055,72.602,-0.244364932,20,-0.290354937,-1.07527709,103.0463867,10.1,2.344,-0.533699274
2023,YR2023,Guinea,GIN,29.47143977,-0.897673428,..,..,..,..,-0.9079386,26.5,53.161,60.74,-0.877875149,29.62962963,-1.076057434,-1.113966107,..,26.1,5.244,-1.145053148
2023,YR2023,Guinea-Bissau,GNB,34.01552099,-1.17836988,..,..,..,..,-1.432584286,32.5,62.57,64.085,-0.32766524,9.803921569,-1.249875188,-1.436436892,..,13.4,2.65,-0.436878204
2023,YR2023,Guyana,GUY,9.743620709,-0.383745015,..,..,..,..,-0.294487,81.7,53.362,70.18,-0.055172037,36.61971831,-0.563037872,-0.342232913,98.9540329,5.2,12.025,0.148810402
2023,YR2023,Haiti,HTI,17.45712992,-1.443874121,..,..,..,..,-2.225333929,..,66.592,64.936,-1.434521794,..,-1.390601754,-1.363607526,..,2.8,14.556,-1.179977417
2023,YR2023,Honduras,HND,11.97879484,-1.111958146,..,..,..,..,-0.795222759,58.3,59.326,72.884,-0.459217161,27.34375,-0.550886929,-1.095008135,86.55229187,11,6.07,-0.453701526
2023,YR2023,Hungary,HUN,2.900756506,-0.000498131,7.061606037,62.53435328,2493.391257,64.22,0.372758895,91.5,78.074,76.77073171,0.731891811,14.07035176,0.318309367,0.427084535,..,22.6,4.107,0.359528899
2023,YR2023,IBRD only,IBD,7.68614228,..,16.09584745,14.13319025,..,70.19722707,..,..,66.0320973,74.52096995,..,25.71916138,..,..,103.9576111,14.65380588,5.164780802,..
