,Unnamed: 0,material,exp_label,elements,A,B,X,rA,rB,rX,nA,nB,nX,chiA,chiB,chiX,rA_rB_ratio,rB_rX_ratio,rA_rX_ratio,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,rA_S,rB_S
499,499,PbNaCl3,0.0,"['Pb', 'Na', 'Cl']",Pb,Na,Cl,1.49,1.02,1.81,2,1,-1,2.33,0.93,3.16,1.46078431372549,0.56353591160221,0.8232044198895028,-0.8300000000000001,-2.23,-1.11,-2.51,1.49,1.02
502,502,NaVF3,1.0,"['Na', 'V', 'F']",Na,V,F,1.39,0.79,1.33,1,2,-1,0.93,1.63,3.98,1.7594936708860758,0.5939849624060151,1.045112781954887,-3.05,-2.35,-2.51,-1.81,1.39,0.79
511,511,SnVS3,0.0,"['Sn', 'V', 'S']",Sn,V,S,1.15,0.58,1.84,2,4,-2,1.96,1.63,2.58,1.9827586206896552,0.3152173913043478,0.6249999999999999,-0.6200000000000001,-0.9500000000000002,-1.48,-1.81,1.607,0.66
512,512,SnTaS3,0.0,"['Sn', 'Ta', 'S']",Sn,Ta,S,1.15,0.68,1.84,2,4,-2,1.96,1.5,2.58,1.691176470588235,0.3695652173913044,0.6249999999999999,-0.6200000000000001,-1.08,-1.48,-1.94,1.607,0.75
515,515,KCoBr3,0.0,"['K', 'Co', 'Br']",K,Co,Br,1.64,0.745,1.96,1,2,-1,0.82,1.88,2.96,2.2013422818791946,0.3801020408163265,0.836734693877551,-2.14,-1.08,-2.62,-1.56,1.85,0.745
520,520,RbCoF3,1.0,"['Rb', 'Co', 'F']",Rb,Co,F,1.72,0.745,1.33,1,2,-1,0.82,1.88,3.98,2.308724832214765,0.5601503759398496,1.2932330827067668,-3.16,-2.1,-2.62,-1.56,1.72,0.745
522,522,HoScS3,1.0,"['Ho', 'Sc', 'S']",Ho,Sc,S,1.12,0.745,1.84,3,3,-2,1.23,1.36,2.58,1.5033557046979866,0.404891304347826,0.6086956521739131,-1.35,-1.22,-2.21,-2.08,1.04,0.87
523,523,RbTmI3,1.0,"['Rb', 'Tm', 'I']",Rb,Tm,I,1.72,1.03,2.2,1,2,-1,0.82,1.25,2.66,1.6699029126213591,0.4681818181818181,0.7818181818181817,-1.8400000000000003,-1.41,-2.62,-2.19,1.78,1.0
524,524,BaVS3,0.0,"['Ba', 'V', 'S']",Ba,V,S,1.61,0.58,1.84,2,4,-2,0.89,1.63,2.58,2.775862068965518,0.3152173913043478,0.875,-1.69,-0.9500000000000002,-2.55,-1.81,1.73,0.66
525,525,LiNiCl3,0.0,"['Li', 'Ni', 'Cl']",Li,Ni,Cl,0.92,0.69,1.81,1,2,-1,0.98,1.91,3.16,1.3333333333333337,0.3812154696132596,0.5082872928176796,-2.18,-1.2500000000000002,-2.46,-1.53,0.92,0.69
526,526,YScS3,1.0,"['Y', 'Sc', 'S']",Y,Sc,S,1.075,0.745,1.84,3,3,-2,1.22,1.36,2.58,1.4429530201342282,0.404891304347826,0.5842391304347826,-1.36,-1.22,-2.22,-2.08,1.46,0.87
527,527,RbCaCl3,1.0,"['Rb', 'Ca', 'Cl']",Rb,Ca,Cl,1.72,1.0,1.81,1,2,-1,0.82,1.0,3.16,1.72,0.5524861878453039,0.9502762430939226,-2.3400000000000003,-2.16,-2.62,-2.44,1.72,1.0
529,529,SrSnS3,0.0,"['Sr', 'Sn', 'S']",Sr,Sn,S,1.44,0.69,1.84,2,4,-2,0.95,1.96,2.58,2.0869565217391304,0.3749999999999999,0.7826086956521738,-1.63,-0.6200000000000001,-2.49,-1.48,1.68,0.86
531,531,NaFeF3,1.0,"['Na', 'Fe', 'F']",Na,Fe,F,1.39,0.78,1.33,1,2,-1,0.93,1.83,3.98,1.782051282051282,0.5864661654135338,1.045112781954887,-3.05,-2.15,-2.51,-1.61,1.39,0.78
533,533,CsMgCl3,0.0,"['Cs', 'Mg', 'Cl']",Cs,Mg,Cl,1.88,0.72,1.81,1,2,-1,0.79,1.31,3.16,2.611111111111111,0.3977900552486187,1.0386740331491713,-2.37,-1.85,-2.65,-2.13,1.88,0.72
535,535,NaCdCl3,0.0,"['Na', 'Cd', 'Cl']",Na,Cd,Cl,1.39,0.95,1.81,1,2,-1,0.93,1.69,3.16,1.463157894736842,0.5248618784530387,0.7679558011049723,-2.23,-1.4700000000000002,-2.51,-1.75,1.39,0.95
539,539,NaZnCl3,0.0,"['Na', 'Zn', 'Cl']",Na,Zn,Cl,1.39,0.74,1.81,1,2,-1,0.93,1.65,3.16,1.8783783783783785,0.4088397790055249,0.7679558011049723,-2.23,-1.5100000000000002,-2.51,-1.79,1.39,0.74
541,541,RbDyI3,1.0,"['Rb', 'Dy', 'I']",Rb,Dy,I,1.72,1.07,2.2,1,2,-1,0.82,1.22,2.66,1.6074766355140186,0.4863636363636363,0.7818181818181817,-1.8400000000000003,-1.4400000000000002,-2.62,-2.22,1.78,1.03
544,544,CsNiI3,0.0,"['Cs', 'Ni', 'I']",Cs,Ni,I,1.88,0.69,2.2,1,2,-1,0.79,1.91,2.66,2.7246376811594204,0.3136363636363636,0.8545454545454544,-1.87,-0.7500000000000002,-2.65,-1.53,2.135,0.69
550,550,NaCaF3,0.0,"['Na', 'Ca', 'F']",Na,Ca,F,1.39,1.0,1.33,1,2,-1,0.93,1.0,3.98,1.39,0.7518796992481203,1.045112781954887,-3.05,-2.98,-2.51,-2.44,1.39,1.0
551,551,TlMnI3,0.0,"['Tl', 'Mn', 'I']",Tl,Mn,I,1.7,0.83,2.2,1,2,-1,1.62,1.55,2.66,2.048192771084337,0.3772727272727272,0.7727272727272726,-1.04,-1.11,-1.82,-1.89,2.17,1.485
555,555,KFeCl3,1.0,"['K', 'Fe', 'Cl']",K,Fe,Cl,1.64,0.78,1.81,1,2,-1,0.82,1.83,3.16,2.102564102564102,0.430939226519337,0.9060773480662982,-2.3400000000000003,-1.33,-2.62,-1.61,1.64,0.78
556,556,CeTmS3,0.0,"['Ce', 'Tm', 'S']",Ce,Tm,S,1.34,0.88,1.84,3,3,-2,1.12,1.25,2.58,1.5227272727272727,0.4782608695652173,0.7282608695652174,-1.46,-1.33,-2.32,-2.19,1.602,1.0
559,559,TlCuF3,1.0,"['Tl', 'Cu', 'F']",Tl,Cu,F,1.7,0.73,1.33,1,2,-1,1.62,1.9,3.98,2.328767123287671,0.5488721804511277,1.2781954887218043,-2.36,-2.08,-1.82,-1.54,1.7,0.73
560,560,CsSnBr3,1.0,"['Cs', 'Sn', 'Br']",Cs,Sn,Br,1.88,1.15,1.96,1,2,-1,0.79,1.96,2.96,1.6347826086956525,0.586734693877551,0.9591836734693876,-2.17,-1.0,-2.65,-1.48,2.135,0.86
561,561,KCaCl3,1.0,"['K', 'Ca', 'Cl']",K,Ca,Cl,1.64,1.0,1.81,1,2,-1,0.82,1.0,3.16,1.64,0.5524861878453039,0.9060773480662982,-2.3400000000000003,-2.16,-2.62,-2.44,1.64,1.0
562,562,PbSnS3,0.0,"['Pb', 'Sn', 'S']",Pb,Sn,S,1.49,0.69,1.84,2,4,-2,2.33,1.96,2.58,2.1594202898550727,0.3749999999999999,0.8097826086956521,-0.25,-0.6200000000000001,-1.11,-1.48,1.717,0.86
