,material,exp_label,elements,A,B,X,rA,rB,rX,nA,nB,nX,chiA,chiB,chiX,rA_rB_ratio,rB_rX_ratio,rA_rX_ratio,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO
265,CeAlO3,1.0,"['Ce', 'Al', 'O']",Ce,Al,O,1.34,0.535,1.4,3,3,-2,1.12,1.61,3.44,2.5046728971962615,0.3821428571428572,0.9571428571428573,-2.32,-1.8299999999999998,-2.32,-1.8299999999999998
266,EuZrSe3,0.0,"['Eu', 'Zr', 'Se']",Eu,Zr,Se,1.35,0.72,1.98,2,4,-2,1.2,1.33,2.55,1.8750000000000002,0.36363636363636365,0.6818181818181819,-1.3499999999999999,-1.2199999999999998,-2.24,-2.11
267,FeSiO3,0.0,"['Fe', 'Si', 'O']",Fe,Si,O,0.92,0.4,1.4,2,4,-2,1.83,1.9,3.44,2.3,0.28571428571428575,0.6571428571428573,-1.6099999999999999,-1.54,-1.6099999999999999,-1.54
268,BaZrS3,1.0,"['Ba', 'Zr', 'S']",Ba,Zr,S,1.61,0.72,1.84,2,4,-2,0.89,1.33,2.58,2.236111111111111,0.3913043478260869,0.875,-1.69,-1.25,-2.55,-2.11
269,BaUS3,1.0,"['Ba', 'U', 'S']",Ba,U,S,1.61,0.89,1.84,2,4,-2,0.89,1.38,2.58,1.8089887640449438,0.483695652173913,0.875,-1.69,-1.2000000000000002,-2.55,-2.06
270,YbMnO3,1.0,"['Yb', 'Mn', 'O']",Yb,Mn,O,1.042,0.645,1.4,3,3,-2,1.1,1.55,3.44,1.6155038759689924,0.46071428571428574,0.7442857142857143,-2.34,-1.89,-2.34,-1.89
271,CaTiO3,1.0,"['Ca', 'Ti', 'O']",Ca,Ti,O,1.34,0.605,1.4,2,4,-2,1.0,1.54,3.44,2.2148760330578514,0.43214285714285716,0.9571428571428573,-2.44,-1.9,-2.44,-1.9
272,TlSbO3,0.0,"['Tl', 'Sb', 'O']",Tl,Sb,O,1.7,0.6,1.4,1,5,-2,1.62,2.05,3.44,2.8333333333333335,0.4285714285714286,1.2142857142857144,-1.8199999999999998,-1.3900000000000001,-1.8199999999999998,-1.3900000000000001
273,ErAlO3,1.0,"['Er', 'Al', 'O']",Er,Al,O,1.062,0.535,1.4,3,3,-2,1.24,1.61,3.44,1.9850467289719627,0.3821428571428572,0.7585714285714287,-2.2,-1.8299999999999998,-2.2,-1.8299999999999998
274,ErTiO3,1.0,"['Er', 'Ti', 'O']",Er,Ti,O,1.062,0.67,1.4,3,3,-2,1.24,1.54,3.44,1.5850746268656717,0.47857142857142865,0.7585714285714287,-2.2,-1.9,-2.2,-1.9
275,PrYbSe3,0.0,"['Pr', 'Yb', 'Se']",Pr,Yb,Se,1.179,0.868,1.98,3,3,-2,1.13,1.1,2.55,1.358294930875576,0.4383838383838384,0.5954545454545455,-1.42,-1.4499999999999997,-2.31,-2.34
276,KCrF3,1.0,"['K', 'Cr', 'F']",K,Cr,F,1.64,0.8,1.33,1,2,-1,0.82,1.66,3.98,2.05,0.6015037593984962,1.2330827067669172,-3.16,-2.3200000000000003,-2.62,-1.78
277,BaTiO3,1.0,"['Ba', 'Ti', 'O']",Ba,Ti,O,1.61,0.605,1.4,2,4,-2,0.89,1.54,3.44,2.6611570247933884,0.43214285714285716,1.1500000000000001,-2.55,-1.9,-2.55,-1.9
278,CaZrS3,1.0,"['Ca', 'Zr', 'S']",Ca,Zr,S,1.34,0.72,1.84,2,4,-2,1.0,1.33,2.58,1.8611111111111114,0.3913043478260869,0.7282608695652174,-1.58,-1.25,-2.44,-2.11
279,CsMgF3,1.0,"['Cs', 'Mg', 'F']",Cs,Mg,F,1.88,0.72,1.33,1,2,-1,0.79,1.31,3.98,2.611111111111111,0.5413533834586466,1.413533834586466,-3.19,-2.67,-2.65,-2.13
280,KCdI3,0.0,"['K', 'Cd', 'I']",K,Cd,I,1.64,0.95,2.2,1,2,-1,0.82,1.69,2.66,1.7263157894736842,0.43181818181818177,0.7454545454545454,-1.8400000000000003,-0.9700000000000002,-2.62,-1.75
281,NaMgF3,1.0,"['Na', 'Mg', 'F']",Na,Mg,F,1.39,0.72,1.33,1,2,-1,0.93,1.31,3.98,1.9305555555555556,0.5413533834586466,1.045112781954887,-3.05,-2.67,-2.51,-2.13
282,CaHfS3,1.0,"['Ca', 'Hf', 'S']",Ca,Hf,S,1.34,0.71,1.84,2,4,-2,1.0,1.3,2.58,1.887323943661972,0.38586956521739124,0.7282608695652174,-1.58,-1.28,-2.44,-2.1399999999999997
283,RbMgCl3,0.0,"['Rb', 'Mg', 'Cl']",Rb,Mg,Cl,1.72,0.72,1.81,1,2,-1,0.82,1.31,3.16,2.388888888888889,0.39779005524861877,0.9502762430939226,-2.3400000000000003,-1.85,-2.62,-2.13
284,SrLiBr3,0.0,"['Sr', 'Li', 'Br']",Sr,Li,Br,1.44,0.76,1.96,2,1,-1,0.95,0.98,2.96,1.894736842105263,0.3877551020408163,0.7346938775510204,-2.01,-1.98,-2.49,-2.46
285,BaCO3,0.0,"['Ba', 'C', 'O']",Ba,C,O,1.61,0.16,1.4,2,4,-2,0.89,2.55,3.44,10.0625,0.1142857142857143,1.1500000000000001,-2.55,-0.8900000000000001,-2.55,-0.8900000000000001
286,EuTiO3,1.0,"['Eu', 'Ti', 'O']",Eu,Ti,O,1.12,0.67,1.4,3,3,-2,1.2,1.54,3.44,1.6716417910447763,0.47857142857142865,0.8000000000000002,-2.24,-1.9,-2.24,-1.9
287,RbNO3,0.0,"['Rb', 'N', 'O']",Rb,N,O,1.72,0.13,1.4,1,5,-2,0.82,3.04,3.44,13.23076923076923,0.09285714285714286,1.2285714285714286,-2.62,-0.3999999999999999,-2.62,-0.3999999999999999
288,PrScS3,1.0,"['Pr', 'Sc', 'S']",Pr,Sc,S,1.179,0.745,1.84,3,3,-2,1.13,1.36,2.58,1.58255033557047,0.40489130434782605,0.6407608695652174,-1.4500000000000002,-1.22,-2.31,-2.08
289,PbTiO3,1.0,"['Pb', 'Ti', 'O']",Pb,Ti,O,1.49,0.605,1.4,2,4,-2,2.33,1.54,3.44,2.462809917355372,0.43214285714285716,1.0642857142857143,-1.1099999999999999,-1.9,-1.1099999999999999,-1.9
290,SrMnO3,1.0,"['Sr', 'Mn', 'O']",Sr,Mn,O,1.44,0.53,1.4,2,4,-2,0.95,1.55,3.44,2.7169811320754715,0.3785714285714286,1.0285714285714287,-2.49,-1.89,-2.49,-1.89
291,LiZnF3,0.0,"['Li', 'Zn', 'F']",Li,Zn,F,0.92,0.74,1.33,1,2,-1,0.98,1.65,3.98,1.2432432432432432,0.556390977443609,0.6917293233082706,-3.0,-2.33,-2.46,-1.79
292,YbFeO3,1.0,"['Yb', 'Fe', 'O']",Yb,Fe,O,1.042,0.645,1.4,3,3,-2,1.1,1.83,3.44,1.6155038759689924,0.46071428571428574,0.7442857142857143,-2.34,-1.6099999999999999,-2.34,-1.6099999999999999
293,CeLuO3,1.0,"['Ce', 'Lu', 'O']",Ce,Lu,O,1.34,0.861,1.4,3,3,-2,1.12,1.27,3.44,1.556329849012776,0.615,0.9571428571428573,-2.32,-2.17,-2.32,-2.17
294,ErFeO3,1.0,"['Er', 'Fe', 'O']",Er,Fe,O,1.062,0.645,1.4,3,3,-2,1.24,1.83,3.44,1.6465116279069767,0.46071428571428574,0.7585714285714287,-2.2,-1.6099999999999999,-2.2,-1.6099999999999999
295,HoBO3,0.0,"['Ho', 'B', 'O']",Ho,B,O,1.12,0.27,1.4,3,3,-2,1.23,2.04,3.44,4.148148148148148,0.1928571428571429,0.8000000000000002,-2.21,-1.4,-2.21,-1.4
296,CaHfO3,1.0,"['Ca', 'Hf', 'O']",Ca,Hf,O,1.34,0.71,1.4,2,4,-2,1.0,1.3,3.44,1.887323943661972,0.5071428571428571,0.9571428571428573,-2.44,-2.1399999999999997,-2.44,-2.1399999999999997
297,PrYbO3,1.0,"['Pr', 'Yb', 'O']",Pr,Yb,O,1.179,0.868,1.4,3,3,-2,1.13,1.1,3.44,1.358294930875576,0.62,0.8421428571428572,-2.31,-2.34,-2.31,-2.34
