,diff,PCE (%)
311,0.622,24.29820873836953
312,0.624,24.243239236739516
313,0.626,24.18629670183805
314,0.628,24.128606347387482
315,0.63,24.070443762430354
316,0.632,24.011866801592443
317,0.634,23.95268137056621
318,0.636,23.892495825153034
319,0.638,23.829390578426707
320,0.64,23.763381331152125
321,0.642,23.69367890801833
322,0.644,23.618154729924292
323,0.646,23.538055144329405
324,0.648,23.45477371508983
325,0.65,23.365548360417584
326,0.652,23.268963683435775
327,0.654,23.167889756638854
328,0.656,23.063942629329272
329,0.658,22.95873258309925
330,0.66,22.85284543178357
331,0.662,22.804662900612797
332,0.664,22.760043037392347
333,0.666,22.7156663901429
334,0.668,22.67206700251636
335,0.67,22.629799074819278
336,0.672,22.587949765627467
337,0.674,22.545433729810156
338,0.676,22.501954337424394
339,0.678,22.458607615602425
340,0.68,22.41633278558254
341,0.682,22.373882482771965
342,0.684,22.330358094500404
343,0.686,22.286106836178178
344,0.688,22.241854607310152
345,0.69,22.19818332959334
346,0.692,22.15465658831244
347,0.694,22.11095624965743
348,0.696,22.06710020753536
349,0.698,22.02302942578994
350,0.7,21.978697350532677
351,0.702,21.93423990348927
352,0.704,21.88982666513134
353,0.706,21.845614381703225
354,0.708,21.801480476899677
355,0.71,21.75721128336367
356,0.712,21.712849370445557
357,0.714,21.668674118071763
358,0.716,21.62510370662417
359,0.718,21.582323016629672
360,0.72,21.54032289586587
361,0.722,21.498401203358178
362,0.724,21.455938018895818
363,0.726,21.41299860016192
364,0.728,21.369987276692303
365,0.73,21.327257378693638
366,0.732,21.284766135678364
367,0.734,21.242264103055685
368,0.736,21.19950102906253
369,0.738,21.156428807028863
370,0.74,21.113402894208253
371,0.742,21.070919411603743
372,0.744,21.029472191914234
373,0.746,20.988403554198648
374,0.748,20.94693574610581
375,0.75,20.90520270814009
376,0.752,20.863514763354733
377,0.754,20.822247404825397
378,0.756,20.781078878644216
379,0.758,20.739349955586516
380,0.76,20.698352706590686
381,0.762,20.65966196324334
382,0.764,20.623206777857693
383,0.766,20.587583382285153
384,0.768,20.549149926549124
385,0.77,20.506865368252125
386,0.772,20.462852052225937
387,0.774,20.418659755949943
388,0.776,20.375125750046415
389,0.778,20.331634395052085
390,0.78,20.28736522369158
391,0.782,20.242572050374598
392,0.784,20.197547828758566
393,0.786,20.152406149327444
394,0.788,20.107342514002386
395,0.79,20.06261329177848
396,0.792,20.01840469088676
397,0.794,19.974753576232906
398,0.796,19.93151492760208
399,0.798,19.888501618873928
400,0.8,19.84590168365883
401,0.802,19.80391788751796
402,0.804,19.76256045938238
403,0.806,19.72146059893532
404,0.808,19.679834036346065
405,0.81,19.637618336302694
406,0.812,19.595778783925486
407,0.814,19.554474582633347
408,0.816,19.51318913926992
409,0.818,19.47148522216633
410,0.82,19.429095071871437
411,0.822,19.386212223354054
412,0.824,19.343137630806794
413,0.826,19.300070617006057
414,0.828,19.257271831676572
415,0.83,19.21557946870219
416,0.832,19.17544371045425
417,0.834,19.13542979422735
418,0.836,19.094520534846307
419,0.838,19.053264150979306
420,0.84,19.011904841697618
421,0.842,18.970085704689673
422,0.844,18.927593465297644
423,0.846,18.884684428464794
424,0.848,18.842115831189563
425,0.85,18.801061914842776
426,0.852,18.760948040721324
427,0.854,18.719911263062425
428,0.856,18.67779299013446
